id,Vulnerability Title,date_reported,severity,description,code,file location
CVE-2018-16873,Exec Code,2018-12-14,Medium,"In Go before 1.10.6 and 1.11.x before 1.11.3, the ""go get"" command is vulnerable to remote code execution when executed with the -u flag and the import path of a malicious Go package, or a package that imports it directly or indirectly. Specifically, it is only vulnerable in GOPATH mode, but not in module mode (the distinction is documented at https://golang.org/cmd/go/#hdr-Module_aware_go_get). Using custom domains, it's possible to arrange things so that a Git repository is cloned to a folder named "".git"" by using a vanity import path that ends with ""/.git"". If the Git repository root contains a ""HEAD"" file, a ""config"" file, an ""objects"" directory, a ""refs"" directory, with some work to ensure the proper ordering of operations, ""go get -u"" can be tricked into considering the parent directory as a repository root, and running Git commands on it. That will use the ""config"" file in the original Git repository root for its configuration, and if that config file contains malicious commands, they will execute on the system running ""go get -u"".",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-16802,Exec Code,2018-09-10,Medium,"An issue was discovered in Artifex Ghostscript before 9.25. Incorrect ""restoration of privilege"" checking when running out of stack during exception handling could be used by attackers able to supply crafted PostScript to execute code using the ""pipe"" instruction. This is due to an incomplete fix for CVE-2018-16509.",68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-16657,DoS Exec Code,2018-09-07,High,"In Kamailio before 5.0.7 and 5.1.x before 5.1.4, a crafted SIP message with an invalid Via header causes a segmentation fault and crashes Kamailio. The reason is missing input validation in the crcitt_string_array core function for calculating a CRC hash for To tags. (An additional error is present in the check_via_address core function: this function also misses input validation.) This could result in denial of service and potentially the execution of arbitrary code.",63,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-16509,Exec Code,2018-09-05,Extreme,"An issue was discovered in Artifex Ghostscript before 9.24. Incorrect ""restoration of privilege"" checking during handling of /invalidaccess exceptions could be used by attackers able to supply crafted PostScript to execute code using the ""pipe"" instruction.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-15911,Exec Code,2018-08-28,Medium,"In Artifex Ghostscript 9.23 before 2018-08-24, attackers able to supply crafted PostScript could use uninitialized memory access in the aesdecode operator to crash the interpreter or potentially execute code.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-15910,Exec Code,2018-08-27,Medium,"In Artifex Ghostscript before 9.24, attackers able to supply crafted PostScript files could use a type confusion in the LockDistillerParams parameter to crash the interpreter or execute code.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-15909,Exec Code,2018-08-27,Medium,"In Artifex Ghostscript 9.23 before 2018-08-24, a type confusion using the .shfill operator could be used by attackers able to supply crafted PostScript files to crash the interpreter or potentially execute code.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-15127,Exec Code,2018-12-19,High,LibVNC before commit 502821828ed00b4a2c4bef90683d0fd88ce495de contains heap out-of-bound write vulnerability in server code of file transfer extension that can result remote code execution,68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-15126,Exec Code,2018-12-19,High,LibVNC before commit 73cb96fec028a576a5a24417b57723b55854ad7b contains heap use-after-free vulnerability in server code of file transfer extension that can result remote code execution,68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-14767,DoS Exec Code,2018-07-31,High,"In Kamailio before 5.0.7 and 5.1.x before 5.1.4, a crafted SIP message with a double ""To"" header and an empty ""To"" tag causes a segmentation fault and crash. The reason is missing input validation in the ""build_res_buf_from_sip_req"" core function. This could result in denial of service and potentially the execution of arbitrary code.",63,"sample_project/api/folder2/file0.c, line46"
CVE-2018-14651,DoS Exec Code,2018-10-31,Medium,"It was found that the fix for CVE-2018-10927, CVE-2018-10928, CVE-2018-10929, CVE-2018-10930, and CVE-2018-10926 was incomplete. A remote, authenticated attacker could use one of these flaws to execute arbitrary code, create arbitrary files, or cause denial of service on glusterfs server nodes via symlinks to relative paths.",63,"sample_project/api/folder2/file0.c, line46"
CVE-2018-14600,Exec Code,2018-08-24,High,"An issue was discovered in libX11 through 1.6.5. The function XListExtensions in ListExt.c interprets a variable as signed instead of unsigned, resulting in an out-of-bounds write (of up to 128 bytes), leading to DoS or remote code execution.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-14357,Exec Code,2018-07-17,High,"An issue was discovered in Mutt before 1.10.1 and NeoMutt before 2018-07-16. They allow remote IMAP servers to execute arbitrary commands via backquote characters, related to the mailboxes command associated with an automatic subscription.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-14354,Exec Code,2018-07-17,High,"An issue was discovered in Mutt before 1.10.1 and NeoMutt before 2018-07-16. They allow remote IMAP servers to execute arbitrary commands via backquote characters, related to the mailboxes command associated with a manual subscription or unsubscription.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-13982,Exec Code Dir. Trav. Bypass,2018-09-18,Medium,Smarty_Security::isTrustedResourceDir() in Smarty before 3.1.33 is prone to a path traversal vulnerability due to insufficient template code sanitization. This allows attackers controlling the executed template code to bypass the trusted directory security restriction and read arbitrary files.,72,"sample_project/api/folder2/file0.c, line46"
CVE-2018-12895,Exec Code Dir. Trav.,2018-06-26,Medium,"WordPress through 4.9.6 allows Author users to execute arbitrary code by leveraging directory traversal in the wp-admin/post.php thumb parameter, which is passed to the PHP unlink function and can delete the wp-config.php file. This is related to missing filename validation in the wp-includes/post.php wp_delete_attachment function. The attacker must have capabilities for files and posts that are normally available only to the Author, Editor, and Administrator roles. The attack methodology is to delete wp-config.php and then launch a new installation process to increase the attacker's privileges.",71,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-12584,DoS Exec Code Overflow,2018-07-16,High,The ConnectionBase::preparseNewBytes function in resip/stack/ConnectionBase.cxx in reSIProcate through 1.10.2 allows remote attackers to cause a denial of service (buffer overflow) or possibly execute arbitrary code when TLS communication is enabled.,64,"sample_project/src/folder1/file3.js, line95"
CVE-2018-12565,Exec Code,2018-06-19,Medium,"An issue was discovered in Linaro LAVA before 2018.5.post1. Because of use of yaml.load() instead of yaml.safe_load() when parsing user data, remote code execution can occur.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-12386,Exec Code,2018-10-18,Medium,"A vulnerability in register allocation in JavaScript can lead to type confusion, allowing for an arbitrary read and write. This leads to remote code execution inside the sandboxed content process when triggered. This vulnerability affects Firefox ESR < 60.2.2 and Firefox < 62.0.3.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-11780,Exec Code,2018-09-17,High,A potential Remote Code Execution bug exists with the PDFInfo plugin in Apache SpamAssassin before 3.4.2.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-11529,DoS Exec Code,2018-07-11,Medium,VideoLAN VLC media player 2.2.x is prone to a use after free vulnerability which an attacker can leverage to execute arbitrary code via crafted MKV files. Failed exploit attempts will likely result in denial of service conditions.,63,"sample_project/api/folder2/file0.c, line46"
CVE-2018-11319,Exec Code Dir. Trav.,2018-05-20,High,"Syntastic (aka vim-syntastic) through 3.9.0 does not properly handle searches for configuration files (it searches the current directory up to potentially the root). This improper handling might be exploited for arbitrary code execution via a malicious gcc plugin, if an attacker has write access to a directory that is a parent of the base directory of the project being checked. NOTE: exploitation is more difficult after 3.8.0 because filename prediction may be needed.",71,"sample_project/src/folder1/file3.js, line95"
CVE-2018-11235,Exec Code Dir. Trav. Bypass,2018-05-30,Medium,"In Git before 2.13.7, 2.14.x before 2.14.4, 2.15.x before 2.15.2, 2.16.x before 2.16.4, and 2.17.x before 2.17.1, remote code execution can occur. With a crafted .gitmodules file, a malicious project can execute an arbitrary script on a machine that runs ""git clone --recurse-submodules"" because submodule ""names"" are obtained from this file, and then appended to $GIT_DIR/modules, leading to directory traversal with ""../"" in a name. Finally, post-checkout hooks from a submodule are executed, bypassing the intended design in which hooks are not obtained from a remote server.",72,"sample_project/api/folder2/file0.c, line46"
CVE-2018-10929,Exec Code,2018-09-04,Medium,A flaw was found in RPC request using gfs2_create_req in glusterfs server. An authenticated attacker could use this flaw to create arbitrary files and execute arbitrary code on glusterfs server nodes.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2017-5133,Exec Code +Info,2018-02-07,Medium,Off-by-one read/write on the heap in Blink in Google Chrome prior to 62.0.3202.62 allowed a remote attacker to corrupt memory and possibly leak information and potentially execute code via a crafted PDF file.,69,"sample_project/api/folder4/file4.cpp, line13"
CVE-2017-2924,Exec Code Overflow Mem. Corr.,2018-04-24,Medium,An exploitable heap-based buffer overflow vulnerability exists in the read_legacy_biff function of FreeXL 1.0.3. A specially crafted XLS file can cause a memory corruption resulting in remote code execution. An attacker can send malicious XLS file to trigger this vulnerability.,76,"sample_project/api/folder2/file0.c, line46"
CVE-2017-2923,Exec Code Overflow Mem. Corr.,2018-04-24,Medium,An exploitable heap based buffer overflow vulnerability exists in the 'read_biff_next_record function' of FreeXL 1.0.3. A specially crafted XLS file can cause a memory corruption resulting in remote code execution. An attacker can send malicious XLS file to trigger this vulnerability.,76,"sample_project/api/folder4/file4.cpp, line13"
CVE-2017-2918,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the Image loading functionality of the Blender open-source 3d creation suite v2.78c. A specially crafted .blend file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to open the file or use it as a library in order to trigger this vulnerability.,75,"sample_project/src/folder2/file2.cpp, line37"
CVE-2017-2908,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the thumbnail functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted .blend file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to render the thumbnail for the file while in the File->Open dialog.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2017-2907,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the animation playing functionality of the Blender open-source 3d creation suite version 2.78c. A specially created '.avi' file can cause an integer overflow resulting in a buffer overflow which can allow for a sudden code execution under the context of the application. An attacker can convince a user to use the file as an asset in order to trigger this vulnerability.,75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2017-2906,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the animation playing functionality of the Blender open-source 3d creation suite version 2.79c. A specially created '.avi' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset in order to trigger this vulnerability.,75,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2017-2905,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the bmp loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.bmp' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/src/folder2/file2.cpp, line37"
CVE-2017-2904,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the RADIANCE loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.hdr' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2017-2903,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the DPX loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.cin' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/api/folder2/file0.c, line46"
CVE-2017-2902,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the MOX loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.cin' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/api/folder2/file0.c, line46"
CVE-2017-2901,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the IRIS loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.iris' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2017-2900,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the PNG loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.png' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/api/folder2/file0.c, line46"
CVE-2017-2899,Exec Code Overflow,2018-04-24,Medium,An exploitable integer overflow exists in the TIFF loading functionality of the Blender open-source 3d creation suite version 2.78c. A specially crafted '.tif' file can cause an integer overflow resulting in a buffer overflow which can allow for code execution under the context of the application. An attacker can convince a user to use the file as an asset via the sequencer in order to trigger this vulnerability.,75,"sample_project/api/folder2/file0.c, line46"
CVE-2017-2885,Exec Code Overflow,2018-04-24,High,An exploitable stack based buffer overflow vulnerability exists in the GNOME libsoup 2.58. A specially crafted HTTP request can cause a stack overflow resulting in remote code execution. An attacker can send a special HTTP request to the vulnerable server to trigger this vulnerability.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2017-2835,Exec Code,2018-04-24,Medium,An exploitable code execution vulnerability exists in the RDP receive functionality of FreeRDP 2.0.0-beta1+android11. A specially crafted server response can cause an out-of-bounds write resulting in an exploitable condition. An attacker can compromise the server or use a man in the middle to trigger this vulnerability.,68,"sample_project/api/folder2/file0.c, line46"
